Shot,Phase,A_goals,B_goals,P(A wins),Prob A rounded,Price A,P(B wins),Prob B,Price B,Samples,Sims
1,reg,0,0,0.3948,0.39,2.56,0.6052,0.61,1.64,339802,500000
1,reg,1,0,0.7223,0.72,1.39,0.2777,0.28,3.57,160198,500000
2,reg,0,0,0.5006,0.5,2.00,0.4994,0.5,2.00,231113,500000
2,reg,0,1,0.17,0.17,5.88,0.83,0.83,1.20,108689,500000
2,reg,1,0,0.8285,0.83,1.20,0.1715,0.17,5.88,109032,500000
2,reg,1,1,0.4958,0.5,2.00,0.5042,0.5,2.00,51166,500000
3,reg,0,0,0.3764,0.38,2.63,0.6236,0.62,1.61,157374,500000
3,reg,0,1,0.0737,0.07,14.29,0.9263,0.93,1.08,73983,500000
3,reg,1,0,0.7653,0.76,1.32,0.2347,0.24,4.17,147869,500000
3,reg,1,1,0.3731,0.38,2.63,0.6269,0.62,1.61,69632,500000
3,reg,2,0,0.9636,0.96,1.04,0.0364,0.04,25.00,34902,500000
3,reg,2,1,0.7641,0.76,1.32,0.2359,0.24,4.17,16240,500000
4,reg,0,0,0.5016,0.5,2.00,0.4984,0.5,2.00,107189,500000
4,reg,0,1,0.1088,0.11,9.09,0.8912,0.89,1.12,100338,500000
4,reg,0,2,0,0,#DIV/0!,1,1,1.00,23830,500000
4,reg,1,0,0.8904,0.89,1.12,0.1096,0.11,9.09,100496,500000
4,reg,1,1,0.4987,0.5,2.00,0.5013,0.5,2.00,94712,500000
4,reg,1,2,0.1088,0.11,9.09,0.8912,0.89,1.12,22293,500000
4,reg,2,0,1,1,1.00,0,0,#DIV/0!,23619,500000
4,reg,2,1,0.8889,0.89,1.12,0.1111,0.11,9.09,22342,500000
4,reg,2,2,0.4945,0.5,2.00,0.5055,0.5,2.00,5181,500000
5,reg,0,0,0.3431,0.34,2.94,0.6569,0.66,1.52,72914,500000
5,reg,0,1,0,0,#DIV/0!,1,1,1.00,68132,500000
5,reg,0,2,0,0,#DIV/0!,1,1,1.00,16253,500000
5,reg,1,0,0.8388,0.84,1.19,0.1612,0.16,6.25,102628,500000
5,reg,1,1,0.3385,0.34,2.94,0.6615,0.66,1.52,96642,500000
5,reg,1,2,0,0,#DIV/0!,1,1,1.00,22807,500000
5,reg,2,0,1,1,1.00,0,0,#DIV/0!,48390,500000
5,reg,2,1,0.8392,0.84,1.19,0.1608,0.16,6.25,45492,500000
5,reg,2,2,0.3422,0.34,2.94,0.6578,0.66,1.52,10614,500000
5,reg,3,0,1,1,1.00,0,0,#DIV/0!,7372,500000
5,reg,3,1,1,1,1.00,0,0,#DIV/0!,7126,500000
5,reg,3,2,0.8313,0.84,1.19,0.1687,0.16,6.25,1630,500000
6,reg,0,0,0.5039,0.5,2.00,0.4961,0.5,2.00,49650,500000
6,reg,0,1,0,0,#DIV/0!,1,1,1.00,69510,500000
6,reg,0,2,0,0,#DIV/0!,1,1,1.00,32887,500000
6,reg,0,3,0,0,#DIV/0!,1,1,1.00,5252,500000
6,reg,1,0,1,1,1.00,0,0,#DIV/0!,69532,500000
6,reg,1,1,0.499,0.5,2.00,0.501,0.5,2.00,98732,500000
6,reg,1,2,0,0,#DIV/0!,1,1,1.00,46628,500000
6,reg,1,3,0,0,#DIV/0!,1,1,1.00,7185,500000
6,reg,2,0,1,1,1.00,0,0,#DIV/0!,32953,500000
6,reg,2,1,1,1,1.00,0,0,#DIV/0!,46265,500000
6,reg,2,2,0.5029,0.5,2.00,0.4971,0.5,2.00,21833,500000
6,reg,2,3,0,0,#DIV/0!,1,1,1.00,3445,500000
6,reg,3,0,1,1,1.00,0,0,#DIV/0!,5020,500000
6,reg,3,1,1,1,1.00,0,0,#DIV/0!,7253,500000
6,reg,3,2,1,1,1.00,0,0,#DIV/0!,3314,500000
6,reg,3,3,0.4917,0.5,2.00,0.5083,0.5,2.00,541,500000
7,sd,0,0,0.3431,0.34,2.94,0.6569,0.66,1.52,33643,170756
7,sd,1,0,0.8419,0.84,1.19,0.1581,0.16,6.25,16007,170756
7,sd,1,1,0.3398,0.34,2.94,0.6602,0.66,1.52,67318,170756
7,sd,2,1,0.84,0.84,1.19,0.16,0.16,6.25,31414,170756
7,sd,2,2,0.3421,0.34,2.94,0.6579,0.66,1.52,14714,170756
7,sd,3,2,0.8352,0.84,1.19,0.1648,0.16,6.25,7119,170756
7,sd,3,3,0.3679,0.34,2.94,0.6321,0.66,1.52,386,170756
7,sd,4,3,0.8,0.84,1.19,0.2,0.16,6.25,155,170756